,round_epochs,loss,mean_absolute_error,val_loss,val_mean_absolute_error,batch_size,dropout,epochs,losses,lstm_units,optimizer
0,100,-90.28279113769531,0.34484320878982544,0.0,0.0,32,0.1,100,binary_crossentropy,50,rmsprop
1,100,-77.42263793945312,0.3676900267601013,0.0,0.0,32,0.1,100,binary_crossentropy,50,Adam
2,100,-184.88253784179688,0.33923450112342834,0.0,0.0,32,0.1,100,binary_crossentropy,100,rmsprop
3,100,-117.68032836914062,0.38391709327697754,0.0,0.0,32,0.1,100,binary_crossentropy,100,Adam
4,100,1.346500039100647,0.22441208362579346,0.0,0.0,32,0.1,100,categorical_crossentropy,50,rmsprop
5,100,1.3684159517288208,0.22605136036872864,0.0,0.0,32,0.1,100,categorical_crossentropy,50,Adam
6,100,1.2754268646240234,0.21441367268562317,0.0,0.0,32,0.1,100,categorical_crossentropy,100,rmsprop
7,100,1.2620195150375366,0.21274183690547943,0.0,0.0,32,0.1,100,categorical_crossentropy,100,Adam
8,100,0.3179154396057129,0.3179154396057129,0.0,0.0,32,0.1,100,mean_absolute_error,50,rmsprop
9,100,0.3179154396057129,0.3179154396057129,0.0,0.0,32,0.1,100,mean_absolute_error,50,Adam
10,100,0.3179154396057129,0.3179154396057129,0.0,0.0,32,0.1,100,mean_absolute_error,100,rmsprop
11,100,0.3179154396057129,0.3179154396057129,0.0,0.0,32,0.1,100,mean_absolute_error,100,Adam
12,100,-77.53861999511719,0.3524906039237976,0.0,0.0,32,0.5,100,binary_crossentropy,50,rmsprop
13,100,-47.24171447753906,0.41391244530677795,0.0,0.0,32,0.5,100,binary_crossentropy,50,Adam
14,100,-160.5411834716797,0.3422658443450928,0.0,0.0,32,0.5,100,binary_crossentropy,100,rmsprop
15,100,-137.546875,0.36315128207206726,0.0,0.0,32,0.5,100,binary_crossentropy,100,Adam
16,100,1.6006464958190918,0.2409190684556961,0.0,0.0,32,0.5,100,categorical_crossentropy,50,rmsprop
17,100,1.5516119003295898,0.2347448766231537,0.0,0.0,32,0.5,100,categorical_crossentropy,50,Adam
18,100,1.3968838453292847,0.22622628509998322,0.0,0.0,32,0.5,100,categorical_crossentropy,100,rmsprop
19,100,1.4300827980041504,0.22378768026828766,0.0,0.0,32,0.5,100,categorical_crossentropy,100,Adam
20,100,0.3179154396057129,0.3179154396057129,0.0,0.0,32,0.5,100,mean_absolute_error,50,rmsprop
21,100,0.3179154694080353,0.3179154694080353,0.0,0.0,32,0.5,100,mean_absolute_error,50,Adam
22,100,0.3179154396057129,0.3179154396057129,0.0,0.0,32,0.5,100,mean_absolute_error,100,rmsprop
23,100,0.3179154396057129,0.3179154396057129,0.0,0.0,32,0.5,100,mean_absolute_error,100,Adam
24,100,-53.490135192871094,0.34164929389953613,0.0,0.0,64,0.1,100,binary_crossentropy,50,rmsprop
25,100,-44.93896484375,0.33490806818008423,0.0,0.0,64,0.1,100,binary_crossentropy,50,Adam
26,100,-94.61595916748047,0.3410309851169586,0.0,0.0,64,0.1,100,binary_crossentropy,100,rmsprop
27,100,-95.80256652832031,0.35511845350265503,0.0,0.0,64,0.1,100,binary_crossentropy,100,Adam
28,100,1.4382909536361694,0.23906148970127106,0.0,0.0,64,0.1,100,categorical_crossentropy,50,rmsprop
29,100,1.440087914466858,0.23995782434940338,0.0,0.0,64,0.1,100,categorical_crossentropy,50,Adam
30,100,1.2940311431884766,0.2169480323791504,0.0,0.0,64,0.1,100,categorical_crossentropy,100,rmsprop
31,100,1.2906075716018677,0.21959826350212097,0.0,0.0,64,0.1,100,categorical_crossentropy,100,Adam
32,100,0.3179154098033905,0.3179154098033905,0.0,0.0,64,0.1,100,mean_absolute_error,50,rmsprop
33,100,0.31791597604751587,0.31791597604751587,0.0,0.0,64,0.1,100,mean_absolute_error,50,Adam
34,100,0.3179154098033905,0.3179154098033905,0.0,0.0,64,0.1,100,mean_absolute_error,100,rmsprop
35,100,0.317915678024292,0.317915678024292,0.0,0.0,64,0.1,100,mean_absolute_error,100,Adam
36,100,-39.50051498413086,0.37211403250694275,0.0,0.0,64,0.5,100,binary_crossentropy,50,rmsprop
37,100,-39.721710205078125,0.3650989532470703,0.0,0.0,64,0.5,100,binary_crossentropy,50,Adam
38,100,-84.0907211303711,0.34954142570495605,0.0,0.0,64,0.5,100,binary_crossentropy,100,rmsprop
39,100,-88.01716613769531,0.37133896350860596,0.0,0.0,64,0.5,100,binary_crossentropy,100,Adam
40,100,1.7179181575775146,0.24896882474422455,0.0,0.0,64,0.5,100,categorical_crossentropy,50,rmsprop
41,100,1.6629501581192017,0.24625734984874725,0.0,0.0,64,0.5,100,categorical_crossentropy,50,Adam
42,100,1.4344396591186523,0.22772827744483948,0.0,0.0,64,0.5,100,categorical_crossentropy,100,rmsprop
43,100,1.3943374156951904,0.22316953539848328,0.0,0.0,64,0.5,100,categorical_crossentropy,100,Adam
44,100,0.3179154098033905,0.3179154098033905,0.0,0.0,64,0.5,100,mean_absolute_error,50,rmsprop
45,100,0.31791630387306213,0.31791630387306213,0.0,0.0,64,0.5,100,mean_absolute_error,50,Adam
46,100,0.3179154098033905,0.3179154098033905,0.0,0.0,64,0.5,100,mean_absolute_error,100,rmsprop
47,100,0.317915678024292,0.317915678024292,0.0,0.0,64,0.5,100,mean_absolute_error,100,Adam
